ASSERTION	AAMAAQ9DcmVhdGUgbmV3IHVzZXIDAAECAQAAAAAAAGCDQA==
ASSERTION	AAMAAQlHZXQgdXNlcnMDAAECAQAAAAAAAABpQA==
ASSERTION	AAMAAQhHZXQgdXNlcgMAAQIBAAAAAAAAQGVA
ASSERTION	AAMAAQtVcGRhdGUgdXNlcgMAAQIBAAAAAAAAUIRA
ASSERTION	AAECAAMBAAAAAAAAABRA
RUN	simulations.ReqresSimulation	reqressimulation	1606851497087	 	3.4.1
USER	Create user scenario	START	1606851498367
USER	Update user scenario	START	1606851498370
USER	Get users scenario	START	1606851498370
REQUEST		Get user	1606851498389	1606851498526	OK	 
REQUEST		Update user	1606851498389	1606851498948	OK	 
REQUEST		Create new user	1606851498389	1606851498952	OK	 
REQUEST		Get users	1606851500550	1606851500578	OK	 
USER	Update user scenario	END	1606851500954
USER	Create user scenario	END	1606851500954
USER	Update user scenario	START	1606851501327
REQUEST		Update user	1606851501328	1606851501738	OK	 
USER	Update user scenario	START	1606851502326
USER	Get users scenario	END	1606851502580
REQUEST		Update user	1606851502327	1606851502729	OK	 
USER	Create user scenario	START	1606851503325
USER	Update user scenario	START	1606851503326
USER	Get users scenario	START	1606851503326
REQUEST		Get user	1606851503326	1606851503386	OK	 
USER	Update user scenario	END	1606851503740
REQUEST		Create new user	1606851503326	1606851503743	OK	 
REQUEST		Update user	1606851503326	1606851503746	OK	 
USER	Update user scenario	START	1606851504326
USER	Create user scenario	START	1606851504326
USER	Update user scenario	END	1606851504732
REQUEST		Update user	1606851504327	1606851504746	OK	 
REQUEST		Create new user	1606851504326	1606851504746	OK	 
USER	Update user scenario	START	1606851505326
USER	Create user scenario	START	1606851505326
REQUEST		Get users	1606851505388	1606851505411	OK	 
REQUEST		Update user	1606851505326	1606851505740	OK	 
USER	Create user scenario	END	1606851505746
USER	Update user scenario	END	1606851505748
REQUEST		Create new user	1606851505327	1606851505758	OK	 
USER	Update user scenario	START	1606851506326
USER	Create user scenario	START	1606851506326
REQUEST		Update user	1606851506327	1606851506564	OK	 
REQUEST		Create new user	1606851506327	1606851506740	OK	 
USER	Update user scenario	END	1606851506748
USER	Create user scenario	END	1606851506748
USER	Create user scenario	START	1606851507326
USER	Update user scenario	START	1606851507326
USER	Get users scenario	END	1606851507413
REQUEST		Update user	1606851507327	1606851507561	OK	 
USER	Update user scenario	END	1606851507742
REQUEST		Create new user	1606851507327	1606851507748	OK	 
USER	Create user scenario	END	1606851507760
USER	Create user scenario	START	1606851508326
USER	Update user scenario	START	1606851508326
USER	Update user scenario	END	1606851508566
REQUEST		Update user	1606851508327	1606851508728	OK	 
REQUEST		Create new user	1606851508326	1606851508728	OK	 
USER	Create user scenario	END	1606851508742
USER	Update user scenario	START	1606851509326
USER	Create user scenario	START	1606851509326
USER	Update user scenario	END	1606851509563
REQUEST		Update user	1606851509327	1606851509733	OK	 
REQUEST		Create new user	1606851509327	1606851509738	OK	 
USER	Create user scenario	END	1606851509750
USER	Update user scenario	START	1606851510326
USER	Create user scenario	START	1606851510326
USER	Update user scenario	END	1606851510730
USER	Create user scenario	END	1606851510730
REQUEST		Create new user	1606851510326	1606851510738	OK	 
REQUEST		Update user	1606851510326	1606851510762	OK	 
USER	Create user scenario	START	1606851511326
USER	Update user scenario	END	1606851511735
USER	Create user scenario	END	1606851511740
REQUEST		Create new user	1606851511326	1606851511834	OK	 
USER	Create user scenario	START	1606851512326
USER	Create user scenario	END	1606851512740
USER	Update user scenario	END	1606851512764
REQUEST		Create new user	1606851512327	1606851512840	OK	 
USER	Get users scenario	START	1606851513326
REQUEST		Get user	1606851513326	1606851513375	OK	 
USER	Create user scenario	END	1606851513837
USER	Get users scenario	START	1606851514326
REQUEST		Get user	1606851514327	1606851514390	OK	 
USER	Get users scenario	START	1606851514659
REQUEST		Get user	1606851514660	1606851514710	OK	 
USER	Create user scenario	END	1606851514842
USER	Get users scenario	START	1606851514991
REQUEST		Get user	1606851514992	1606851515045	OK	 
USER	Get users scenario	START	1606851515325
REQUEST		Get user	1606851515326	1606851515390	OK	 
REQUEST		Get users	1606851515377	1606851515439	OK	 
USER	Get users scenario	START	1606851515659
REQUEST		Get user	1606851515659	1606851515716	OK	 
USER	Get users scenario	START	1606851515992
REQUEST		Get user	1606851515992	1606851516039	OK	 
USER	Get users scenario	START	1606851516326
REQUEST		Get user	1606851516326	1606851516380	OK	 
REQUEST		Get users	1606851516392	1606851516415	OK	 
USER	Get users scenario	START	1606851516526
REQUEST		Get user	1606851516526	1606851516576	OK	 
USER	Get users scenario	START	1606851516725
